,Rank,State or UN,Area,Region,NationalShare,Land Mass
0,1,Rajasthan,"342,238",Western,10.41,Germany
1,2,Madhya Pradesh,"308,350",Central,9.37,Oman
2,3,Maharashtra,"307,713",Western,9.36,Italy
3,4,Uttar Pradesh,"243,290",Northern,7.33,United Kingdom
4,5,Gujarat,"196,024",Western,5.96,Senegal
5,6,Karnataka,"191,791",Southern,5.83,Syria
6,7,Andhra Pradesh,"162,968",Southern,4.87,Tunisia
7,8,Odisha,"155,707",Eastern,4.73,Bangladesh
8,9,Chhattisgarh,"135,191",Central,4.11,Greece
9,10,Tamil Nadu,"130,058",Southern,3.95,Nicaragua
10,11,Telangana,"112,077",Southern,3.49,Honduras
11,12,Jammu and Kashmir,"101,387",Northern,3.11,South Korea
12,13,Bihar,"94,165",Eastern,2.86,Hungary
13,14,West Bengal,"88,752",Eastern,2.70,Serbia
14,15,Arunachal Pradesh,"83,743",Northeastern,2.54,Austria
15,16,Jharkhand,"79,714",Eastern,2.42,Czech Republic
16,17,Assam,"78,438",Northeastern,2.38,Panama
17,18,Himachal Pradesh,"55,673",Northern,1.70,Croatia
18,19,Uttarakhand,"53,483",Northern,1.62,Bosnia and Herzegovina
19,20,Punjab,"50,362",Northern,1.53,Slovakia
20,21,Haryana,"44,212",Northern,1.34,Denmark
21,22,Kerala,"38,863",Southern,1.18,Bhutan
22,23,Meghalaya,"22,429",Northeastern,0.68,Belize
23,24,Manipur,"22,327",Northeastern,0.68,Slovenia
24,25,Mizoram,"21,081",Northeastern,0.64,El Salvador
25,26,Nagaland,"16,579",Northeastern,0.50,Eswatini
26,27,Tripura,"10,486",Northeastern,0.31,Lebanon
27,28,Sikkim,"7,096",Eastern,0.21,Cyprus
28,29,Goa,"3,702",Western,0.11,French Polynesia
29,UT1,Andaman and Nicobar Islands,"8,249",Bay of Bengal,0.25,Puerto Rico
30,NCT,Delhi,"1,483",Northern,0.04,Faroe Islands
31,UT2,Puducherry,492,Southern,0.01,Saint Lucia
32,UT3,Dadra and Nagar Haveli,491,Western,0.01,Andorra
33,UT4,Chandigarh,114,Northern,0.003,Wallis and Futuna
34,UT5,Daman and Diu,112,Western,0.003,Montserrat
35,UT6,Lakshadweep,32,Arabian Sea,0.001,Macau
36,**,Disputed area (between the states),23,,0.0007,Nauru
37,,India,"3,287,263[a]",,100,
